Livestock,Area,Year,Value,Flags
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2008",31020153,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2009",27888325,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2010",28152100,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2011",24967363,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2012",25954154,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2013",25966837,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2014",24976628,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2015",25832974,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2016",24570347,
"Total lambs marked and/or tailed","Total New Zealand","As at June 30 2017",24127372,
"Total deer","Total New Zealand","As at June 30 1994",1231109,
"Total deer","Total New Zealand","As at June 30 2002",1647938,
"Total deer","Total New Zealand","As at June 30 2003",1689444,
"Total deer","Total New Zealand","As at June 30 2004",1756888,
"Total deer","Total New Zealand","As at June 30 2005",1705084,
"Total deer","Total New Zealand","As at June 30 2006",1586918,
"Total deer","Total New Zealand","As at June 30 2007",1396023,
"Total deer","Total New Zealand","As at June 30 2008",1223324,
"Total deer","Total New Zealand","As at June 30 2009",1145858,
"Total deer","Total New Zealand","As at June 30 2010",1122695,
"Total deer","Total New Zealand","As at June 30 2011",1088533,
"Total deer","Total New Zealand","As at June 30 2012",1060694,
"Total deer","Total New Zealand","As at June 30 2013",1028382,
"Total deer","Total New Zealand","As at June 30 2014",958219,
"Total deer","Total New Zealand","As at June 30 2015",900100,
"Total deer","Total New Zealand","As at June 30 2016",834608,
"Total deer","Total New Zealand","As at June 30 2017",836337,
"Fawns weaned","Total New Zealand","As at June 30 1994",370496,
"Fawns weaned","Total New Zealand","As at June 30 2002",654710,
"Fawns weaned","Total New Zealand","As at June 30 2003",670370,
"Fawns weaned","Total New Zealand","As at June 30 2004",699719,
"Fawns weaned","Total New Zealand","As at June 30 2005",648446,
"Fawns weaned","Total New Zealand","As at June 30 2006",595782,
"Fawns weaned","Total New Zealand","As at June 30 2007",536604,
"Fawns weaned","Total New Zealand","As at June 30 2008",494163,
"Fawns weaned","Total New Zealand","As at June 30 2009",431921,
"Fawns weaned","Total New Zealand","As at June 30 2010",428470,
"Fawns weaned","Total New Zealand","As at June 30 2011",426660,
"Fawns weaned","Total New Zealand","As at June 30 2012",413283,
"Fawns weaned","Total New Zealand","As at June 30 2013",398938,
"Fawns weaned","Total New Zealand","As at June 30 2014",375146,
"Fawns weaned","Total New Zealand","As at June 30 2015",352568,
"Fawns weaned","Total New Zealand","As at June 30 2016",321031,
"Fawns weaned","Total New Zealand","As at June 30 2017",313212,
